"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000079017",718.934156073186,2.32205210461954,0.578442740693898,4.01431626894309,5.96183623715952e-05,0.000933283273598963
"ENSMUSG00000071178",285.383794707546,-1.90801056298699,0.291520001392993,-6.54504169137554,5.94787903908765e-11,8.59935854501237e-09
"ENSMUSG00000090555",14.3997810270103,-1.09878798444756,0.443233732959628,-2.47902608204156,0.0131741672240333,0.049945091659132
"ENSMUSG00000066366",1273.14960732507,-2.0063500672279,0.288688501376874,-6.94987870198777,3.65600423992991e-12,6.03592283210405e-10
"ENSMUSG00000079015",449.678641365725,-1.91690724398704,0.270287585502401,-7.09210243757204,1.3208967608279e-12,2.34528695929102e-10
"ENSMUSG00000072849",26.0770590818292,-1.62634818826777,0.395801831210405,-4.10899611882598,3.97382753683285e-05,0.000673882503312384
"ENSMUSG00000066364",3.51536297125068,-4.23607100980305,1.39462103675824,-3.03743518716001,0.00238600709140166,0.0145906856607435
"ENSMUSG00000020598",15.9748271048579,1.6477920007763,0.422937677523574,3.89606338793132,9.77688110140295e-05,0.00136103060779572
"ENSMUSG00000041481",23.0133842005604,1.66054552699191,0.495224999627259,3.3531132883876,0.000799079919822719,0.00657377554709821
"ENSMUSG00000041323",58.3082473298903,1.1701833424845,0.286553450988889,4.08364770497869,4.4334227290466e-05,0.000736151841334144
"ENSMUSG00000021139",15.598916218107,1.29186640153936,0.50543534033276,2.55594790955623,0.0105898970521152,0.0428528800943352
"ENSMUSG00000021263",1003.30370614963,-1.34580123710673,0.168002189624087,-8.01061724325157,1.14134149272109e-15,3.60967080533869e-13
"ENSMUSG00000099478",51.3951017088076,-1.03345116619275,0.281033791238308,-3.67731994661246,0.000235697334620685,0.00269686249296624
"ENSMUSG00000020660",19.9358767459604,1.79365927201078,0.603426468081024,2.97245707122336,0.00295426520277576,0.0170071905487441
"ENSMUSG00000054383",10.4239338239912,-1.44083360236803,0.512486573765027,-2.81145629198208,0.00493177908324504,0.0247211838593271
"ENSMUSG00000042962",1692.92788730306,1.09784495735879,0.374422113216777,2.93210501892333,0.00336672877398221,0.0186854831681311
"ENSMUSG00000112819",2.36411065004814,2.92524735655165,1.0369456946161,2.82102271289591,0.00478708134052469,0.0242155467495674
"ENSMUSG00000020640",568.586616815478,-1.02183966864515,0.261754016232864,-3.90381658074003,9.468755192298e-05,0.00132634653181525
"ENSMUSG00000020592",416.550895175724,1.31870257228686,0.135841911254351,9.70762675605853,2.79775300541834e-22,2.57405993557603e-19
"ENSMUSG00000071414",817.503060972604,1.44036031265646,0.37238297913248,3.86795421211783,0.000109752266370354,0.00149797412245606
"ENSMUSG00000002804",862.679717083008,1.2541258138356,0.336375219621152,3.72835375699816,0.000192734702065311,0.00232904065940535
"ENSMUSG00000006360",435.483114618221,1.6670168593819,0.379061114080113,4.39775222902338,1.09377739721936e-05,0.000247940310181816
"ENSMUSG00000112388",4.61205807944646,1.92471565064985,0.71294410814045,2.69967256713858,0.00694077493643929,0.0317272415285609
"ENSMUSG00000068706",10132.0968730281,1.36461288208529,0.34795110485702,3.92185241844836,8.78708093716243e-05,0.00125893271001612
