"","corPvalueStudent.gene.signf.corr..nSamples.","symbol"
"ENSMUSG00000040813",3.13172568925576e-05,"Tex264"
"ENSMUSG00000049878",3.1389255126192e-05,"Rlf"
"ENSMUSG00000020415",3.13940044148296e-05,"Pttg1"
"ENSMUSG00000039841",3.14447203821706e-05,"Zfp800"
"ENSMUSG00000090873",3.1564231321997e-05,NA
"ENSMUSG00000070319",3.16258735671767e-05,"Eif3g"
"ENSMUSG00000000088",3.16955000072586e-05,"Cox5a"
"ENSMUSG00000005823",3.20240665728772e-05,"Gpr108"
"ENSMUSG00000033705",3.20769699428917e-05,"Stard9"
"ENSMUSG00000048440",3.26002731342335e-05,"Cyp4f16"
"ENSMUSG00000054474",3.29499967909582e-05,"Thnsl2"
"ENSMUSG00000036835",3.32106514688901e-05,"Psenen"
"ENSMUSG00000049721",3.3376353156439e-05,"Gal3st1"
"ENSMUSG00000032312",3.35161471708935e-05,"Csk"
"ENSMUSG00000037343",3.36772929058369e-05,"Taf2"
"ENSMUSG00000025161",3.42069925220852e-05,"Slc16a3"
"ENSMUSG00000002949",3.42629860808828e-05,"Timm44"
"ENSMUSG00000015542",3.43319056882457e-05,"Nat9"
"ENSMUSG00000021945",3.44276069693371e-05,"Zmym2"
"ENSMUSG00000000753",3.4525790898643e-05,"Serpinf1"
"ENSMUSG00000043445",3.45719795871634e-05,"Pgp"
"ENSMUSG00000070490",3.46835253188278e-05,"Gm10293"
"ENSMUSG00000028284",3.46860665412757e-05,"Map3k7"
"ENSMUSG00000042379",3.49016342501933e-05,"Esm1"
"ENSMUSG00000041119",3.50584457462418e-05,"Pde9a"
"ENSMUSG00000030031",3.52630602156468e-05,"Kbtbd8"
"ENSMUSG00000066595",3.56407301818345e-05,"Flvcr1"
"ENSMUSG00000066512",3.57563968555237e-05,"Klk1b5"
"ENSMUSG00000031508",3.58397713085588e-05,"Ankrd10"
"ENSMUSG00000024944",3.61044115978296e-05,"Arl2"
"ENSMUSG00000025082",3.62671037911514e-05,"Vwa2"
"ENSMUSG00000040212",3.6504544458874e-05,"Emp3"
"ENSMUSG00000050234",3.66142041768629e-05,"Gja4"
"ENSMUSG00000041035",3.67719514792113e-05,"Dpcd"
"ENSMUSG00000018819",3.70233800275793e-05,"Lsp1"
"ENSMUSG00000019470",3.72338787335296e-05,"Xab2"
"ENSMUSG00000031889",3.7308214941558e-05,"Phaf1"
"ENSMUSG00000000154",3.74816302598857e-05,"Slc22a18"
"ENSMUSG00000099669",3.74845951473902e-05,NA
"ENSMUSG00000022704",3.7713071717739e-05,"Qtrt2"
"ENSMUSG00000058706",3.79024586443907e-05,"0610030E20Rik"
"ENSMUSG00000001604",3.79110514035062e-05,"Tcea3"
"ENSMUSG00000002324",3.89655570038699e-05,"Rec8"
"ENSMUSG00000024683",3.91005374243772e-05,"Mrpl16"
"ENSMUSG00000009076",3.91856599559678e-05,"Zmat5"
"ENSMUSG00000054763",3.92393530539643e-05,"Defb42"
"ENSMUSG00000056536",3.93166062499946e-05,"Pign"
"ENSMUSG00000024451",3.93252072718696e-05,"Arap3"
"ENSMUSG00000006057",3.94696636030212e-05,"Atp5g1"
"ENSMUSG00000090112",3.96753201501679e-05,"Shprh"
"ENSMUSG00000036990",3.98494738982162e-05,"Otud4"
"ENSMUSG00000031995",4.00674847578494e-05,"St14"
"ENSMUSG00000020388",4.00934953148068e-05,"Pdlim4"
"ENSMUSG00000063142",4.02083441673039e-05,"Kcnma1"
"ENSMUSG00000042106",4.02400111785718e-05,"Inka1"
"ENSMUSG00000096438",4.03047686443992e-05,"Gapdh-ps15"
"ENSMUSG00000040928",4.07127983246298e-05,"S100pbp"
"ENSMUSG00000001313",4.07567448366489e-05,"Rnd2"
"ENSMUSG00000034793",4.11406776775968e-05,"G6pc3"
"ENSMUSG00000044795",4.13086722111264e-05,"Cyb5d1"
"ENSMUSG00000032239",4.13807307268043e-05,"Rp9"
"ENSMUSG00000021171",4.14545170370106e-05,"Esyt2"
"ENSMUSG00000039634",4.16787719620514e-05,"Zfp189"
"ENSMUSG00000028873",4.17165252166764e-05,"Cdca8"
"ENSMUSG00000030218",4.2016372716918e-05,"Mgp"
"ENSMUSG00000040327",4.21411230555151e-05,"Cul9"
"ENSMUSG00000032878",4.21469884656299e-05,"Ccdc85a"
"ENSMUSG00000108621",4.22442779189638e-05,"Gm33989"
"ENSMUSG00000032449",4.22995006722512e-05,"Slc25a36"
"ENSMUSG00000042408",4.23215543266817e-05,"Zmym6"
"ENSMUSG00000038175",4.24067927594985e-05,"Mylip"
"ENSMUSG00000020089",4.2522482063957e-05,"Ppa1"
"ENSMUSG00000055235",4.26349277103959e-05,"Wdr86"
"ENSMUSG00000020086",4.28247414303627e-05,"Macroh2a2"
"ENSMUSG00000027784",4.28255670626268e-05,"Ppm1l"
"ENSMUSG00000020700",4.28642288594518e-05,"Map3k3"
"ENSMUSG00000034810",4.29668553838027e-05,"Scn7a"
"ENSMUSG00000028066",4.29668934393335e-05,"Pmf1"
"ENSMUSG00000039735",4.30309011510594e-05,"Fnbp1l"
"ENSMUSG00000042508",4.31593510531742e-05,"Dmtf1"
"ENSMUSG00000003032",4.39352895971253e-05,"Klf4"
"ENSMUSG00000031666",4.4009442480794e-05,"Rbl2"
"ENSMUSG00000031825",4.43809116890472e-05,"Crispld2"
"ENSMUSG00000039639",4.43885250737728e-05,"Kcne1"
"ENSMUSG00000002980",4.45173342707429e-05,"Bcam"
"ENSMUSG00000027750",4.4714673233351e-05,"Postn"
"ENSMUSG00000100594",4.49815183212205e-05,"2810414N06Rik"
"ENSMUSG00000029648",4.51228484342793e-05,"Flt1"
"ENSMUSG00000022974",4.51537965522799e-05,"Paxbp1"
"ENSMUSG00000004266",4.52991444116222e-05,"Ptpn6"
"ENSMUSG00000041560",4.556272345517e-05,"Nop53"
"ENSMUSG00000002908",4.57313383112858e-05,"Kcnn1"
"ENSMUSG00000061518",4.5788030632247e-05,"Cox5b"
"ENSMUSG00000038056",4.60041355931018e-05,"Kmt2c"
"ENSMUSG00000010609",4.60351208839834e-05,"Psen2"
"ENSMUSG00000098557",4.6132752246407e-05,"Kctd12"
"ENSMUSG00000034333",4.62343523147436e-05,"Zbed4"
"ENSMUSG00000025364",4.64080195086258e-05,"Pa2g4"
"ENSMUSG00000053560",4.64131432227966e-05,"Ier2"
"ENSMUSG00000033423",4.64869593857807e-05,"Eri3"
"ENSMUSG00000026547",4.65746312275042e-05,"Tagln2"
"ENSMUSG00000045031",4.73922365254109e-05,"Cetn4"
"ENSMUSG00000001829",4.74886224049896e-05,"Clpb"
"ENSMUSG00000060657",4.76053472185922e-05,"Marf1"
"ENSMUSG00000015090",4.79103784092703e-05,"Ptgds"
"ENSMUSG00000085085",4.81521076511127e-05,"1700086P04Rik"
"ENSMUSG00000068220",4.82231756488817e-05,"Lgals1"
"ENSMUSG00000006386",4.83516237216634e-05,"Tek"
"ENSMUSG00000032839",4.84579378683346e-05,"Trpc1"
"ENSMUSG00000066568",4.84643171082578e-05,"Lsm14a"
"ENSMUSG00000044950",4.8489192177572e-05,"Pwwp2a"
"ENSMUSG00000024101",4.89585672267954e-05,"Washc1"
"ENSMUSG00000069094",4.92862097858392e-05,"Pde7a"
"ENSMUSG00000026004",4.95515777113525e-05,"Kansl1l"
"ENSMUSG00000033099",4.98102351308661e-05,"Nol12"
"ENSMUSG00000017707",5.00319191480733e-05,"Serinc3"
"ENSMUSG00000030034",5.0068511692484e-05,"Ino80b"
"ENSMUSG00000063317",5.04461146609693e-05,"Usp31"
"ENSMUSG00000008200",5.04674439337243e-05,"Fnbp4"
"ENSMUSG00000110469",5.04924444137978e-05,"Gm10358"
"ENSMUSG00000041594",5.10953381621652e-05,"Tmtc4"
"ENSMUSG00000030717",5.11937424633619e-05,"Nupr1"
"ENSMUSG00000022546",5.12588485726835e-05,"Gpt"
"ENSMUSG00000024909",5.16211091703404e-05,"Efemp2"
"ENSMUSG00000030180",5.1701466076319e-05,"Kdm5a"
"ENSMUSG00000039787",5.1789124406711e-05,"Cercam"
"ENSMUSG00000028861",5.20823866299131e-05,"Mrps15"
"ENSMUSG00000048787",5.24040937442076e-05,"Dcun1d3"
"ENSMUSG00000048696",5.26116029067609e-05,"Mex3d"
"ENSMUSG00000086010",5.2789840682645e-05,"Gm15318"
"ENSMUSG00000028975",5.29685636521761e-05,"Pex14"
"ENSMUSG00000029177",5.29749295682426e-05,"Cenpa"
"ENSMUSG00000026970",5.3484320346857e-05,"Rbms1"
"ENSMUSG00000052331",5.36042385806688e-05,"Ankrd44"
"ENSMUSG00000002660",5.37761796024383e-05,"Clpp"
"ENSMUSG00000097927",5.39848832020594e-05,NA
"ENSMUSG00000056429",5.44529964314594e-05,"Tgoln1"
"ENSMUSG00000037808",5.45060593249846e-05,"Fam76b"
"ENSMUSG00000035027",5.47464070061458e-05,"Map2k2"
"ENSMUSG00000038797",5.48198090701171e-05,"Zscan2"
"ENSMUSG00000025410",5.48554891220889e-05,"Dctn2"
"ENSMUSG00000030271",5.48935652043972e-05,"Ogg1"
"ENSMUSG00000019471",5.4894049899302e-05,"Cdc37"
"ENSMUSG00000066516",5.51657858503762e-05,"Klk1b21"
"ENSMUSG00000007721",5.54997695616298e-05,"Ccdc124"
"ENSMUSG00000030655",5.5725560242275e-05,"Smg1"
"ENSMUSG00000022490",5.57746831417604e-05,"Ppp1r1a"
"ENSMUSG00000041258",5.58348395747023e-05,"Zfp236"
"ENSMUSG00000028107",5.595688503166e-05,"Tars2"
"ENSMUSG00000024811",5.60754353712693e-05,"Tnks2"
"ENSMUSG00000051166",5.63881689940388e-05,"Eml5"
"ENSMUSG00000036356",5.65770900780415e-05,"Csgalnact1"
"ENSMUSG00000018001",5.67029605017548e-05,"Cyth3"
"ENSMUSG00000033065",5.67428140703582e-05,"Pfkm"
"ENSMUSG00000026027",5.68640538886785e-05,"Stradb"
"ENSMUSG00000063659",5.69343157520815e-05,"Zbtb18"
"ENSMUSG00000027712",5.70783188275673e-05,"Anxa5"
"ENSMUSG00000091866",5.71588565875182e-05,"Gm6257"
"ENSMUSG00000081559",5.71862541720209e-05,"Gm12411"
"ENSMUSG00000028580",5.72251801379988e-05,"Pum1"
"ENSMUSG00000114321",5.72721696715911e-05,"Gm8971"
"ENSMUSG00000025209",5.73031083664561e-05,"Twnk"
"ENSMUSG00000048368",5.74336008859717e-05,"Omd"
"ENSMUSG00000032235",5.74360560605743e-05,"Ice2"
"ENSMUSG00000022875",5.76075619764901e-05,"Kng1"
"ENSMUSG00000068744",5.78819674103398e-05,"Psrc1"
"ENSMUSG00000028759",5.79796280094793e-05,"Hp1bp3"
"ENSMUSG00000036769",5.80252341390029e-05,"Wdr44"
"ENSMUSG00000044033",5.80306366110214e-05,"Ccdc141"
"ENSMUSG00000022437",5.83587656029426e-05,"Samm50"
"ENSMUSG00000022781",5.86384798999347e-05,"Pak2"
"ENSMUSG00000002332",5.88930365615144e-05,"Dhrs1"
"ENSMUSG00000003421",5.90015326481079e-05,"Nosip"
"ENSMUSG00000061390",5.90349293139433e-05,NA
"ENSMUSG00000024357",5.90643108475323e-05,"Sil1"
"ENSMUSG00000011831",5.92352814268674e-05,"Evi5"
"ENSMUSG00000051427",5.940019050865e-05,"Ccdc157"
"ENSMUSG00000060477",5.94446036737615e-05,"Irak2"
"ENSMUSG00000026202",5.97045469449828e-05,"Tuba4a"
"ENSMUSG00000013584",5.9872534711418e-05,"Aldh1a2"
"ENSMUSG00000002043",6.00687157343711e-05,"Trappc6a"
"ENSMUSG00000031672",6.02496960814474e-05,"Got2"
"ENSMUSG00000026492",6.04399844256584e-05,"Tfb2m"
"ENSMUSG00000078650",6.07129880329846e-05,"G6pc"
"ENSMUSG00000051329",6.08996893261181e-05,"Nup160"
"ENSMUSG00000037095",6.09597378201911e-05,"Lrg1"
"ENSMUSG00000006356",6.09604557462768e-05,"Crip2"
"ENSMUSG00000032523",6.12083746965759e-05,"Hhatl"
"ENSMUSG00000060803",6.14839491185223e-05,"Gstp1"
"ENSMUSG00000028034",6.15158143986133e-05,"Fubp1"
"ENSMUSG00000023277",6.20415857374639e-05,"Twf2"
"ENSMUSG00000032322",6.21102751580011e-05,"Pstpip1"
"ENSMUSG00000008601",6.21881819878655e-05,"Rab25"
"ENSMUSG00000068874",6.22317289871727e-05,"Selenbp1"
"ENSMUSG00000038535",6.22834857220089e-05,"Zfp280d"
"ENSMUSG00000022706",6.23637826809393e-05,"Mrpl40"
"ENSMUSG00000089999",6.24148708578497e-05,NA
"ENSMUSG00000073775",6.24300714689962e-05,"Kti12"
"ENSMUSG00000106574",6.25393489614201e-05,"Gm2451"
"ENSMUSG00000027610",6.25758259520774e-05,"Gss"
"ENSMUSG00000003779",6.27377028746783e-05,"Kif20a"
"ENSMUSG00000023262",6.29981499410789e-05,"Acy1"
"ENSMUSG00000060680",6.31461193706557e-05,"Gm8894"
"ENSMUSG00000019942",6.33737381142805e-05,"Cdk1"
"ENSMUSG00000115205",6.34078237621321e-05,"Gm16374"
"ENSMUSG00000025268",6.36187018582003e-05,"Maged2"
"ENSMUSG00000034194",6.36890872684195e-05,"R3hcc1"
"ENSMUSG00000004035",6.38075019896922e-05,"Gstm7"
"ENSMUSG00000084384",6.40458386409328e-05,"Gm12251"
"ENSMUSG00000031253",6.42118260798794e-05,"Srpx2"
"ENSMUSG00000001053",6.42432680018395e-05,"N4bp3"
"ENSMUSG00000030313",6.43373257784385e-05,"Dennd5b"
"ENSMUSG00000041225",6.47023142590427e-05,"Arhgap12"
"ENSMUSG00000040021",6.47864308606013e-05,"Lats1"
"ENSMUSG00000020263",6.5175618158097e-05,"Appl2"
"ENSMUSG00000042642",6.52357349324674e-05,"Flad1"
"ENSMUSG00000032621",6.52776224695951e-05,"Srek1"
"ENSMUSG00000044548",6.55460234434826e-05,"Dact1"
"ENSMUSG00000054387",6.55677173814003e-05,"Mdm4"
"ENSMUSG00000033739",6.56260635316608e-05,"Fkbpl"
"ENSMUSG00000026159",6.58955473114557e-05,"Agfg1"
"ENSMUSG00000089659",6.6202472054997e-05,NA
"ENSMUSG00000001119",6.6277186138497e-05,"Col6a1"
"ENSMUSG00000019139",6.62785229791586e-05,"Isyna1"
"ENSMUSG00000058603",6.66111475918958e-05,"Rpl28-ps1"
"ENSMUSG00000004096",6.70300787196641e-05,"Cwc15"
"ENSMUSG00000017716",6.73540805381476e-05,"Birc5"
"ENSMUSG00000040250",6.74040259295347e-05,"Ints13"
"ENSMUSG00000018861",6.7514315500827e-05,"Fdxr"
"ENSMUSG00000035173",6.75554470110139e-05,"Ccdc186"
"ENSMUSG00000002847",6.77763968692858e-05,"Pla1a"
"ENSMUSG00000038155",6.84825851106465e-05,"Gstp2"
"ENSMUSG00000022574",6.86365079089928e-05,"Naprt"
"ENSMUSG00000035529",6.89259400034864e-05,"Prdm4"
"ENSMUSG00000096617",6.91542699487014e-05,NA
"ENSMUSG00000103928",6.92192910230794e-05,NA
"ENSMUSG00000062300",6.93116497508244e-05,"Nectin2"
"ENSMUSG00000038342",6.99274731550759e-05,"Mlxip"
"ENSMUSG00000032348",7.00212365705832e-05,"Gsta4"
"ENSMUSG00000043336",7.04863636258212e-05,"Filip1l"
"ENSMUSG00000041731",7.06375271906098e-05,"Pgm5"
"ENSMUSG00000059316",7.10350818548688e-05,"Slc27a4"
"ENSMUSG00000103672",7.14637866214502e-05,NA
"ENSMUSG00000001962",7.16097566065211e-05,"Fam50a"
"ENSMUSG00000116041",7.16232773310652e-05,NA
"ENSMUSG00000105866",7.19446204696575e-05,"Gm6745"
"ENSMUSG00000023153",7.21124513710135e-05,"Tmem52"
"ENSMUSG00000027165",7.22075320046109e-05,"Iftap"
"ENSMUSG00000034998",7.23079042571261e-05,"Foxn2"
"ENSMUSG00000068101",7.25578583088015e-05,"Cenpm"
"ENSMUSG00000039967",7.25797018335901e-05,"Zfp292"
"ENSMUSG00000037349",7.28628597295412e-05,"Nudt22"
"ENSMUSG00000015189",7.28994878905927e-05,"Casd1"
"ENSMUSG00000026715",7.30137533585571e-05,"Serpinc1"
"ENSMUSG00000031813",7.30582250482898e-05,"Mvb12a"
"ENSMUSG00000039450",7.3321482071269e-05,"Dcxr"
"ENSMUSG00000019966",7.34429342744886e-05,"Kitl"
"ENSMUSG00000024790",7.37475223080622e-05,"Sac3d1"
"ENSMUSG00000005354",7.41336492955777e-05,"Txn2"
"ENSMUSG00000063229",7.42259544246716e-05,"Ldha"
"ENSMUSG00000011306",7.43822666868763e-05,"Sugp1"
"ENSMUSG00000001155",7.47956208405182e-05,"Ftcd"
"ENSMUSG00000105881",7.48236240224232e-05,NA
"ENSMUSG00000100017",7.53905820587082e-05,"2410022M11Rik"
"ENSMUSG00000059474",7.55350059615259e-05,"Mbtd1"
"ENSMUSG00000039364",7.69995802145076e-05,"Sectm1b"
"ENSMUSG00000034893",7.72777840857077e-05,"Cog3"
"ENSMUSG00000034401",7.73719882540409e-05,"Spata6"
"ENSMUSG00000034041",7.75922732175074e-05,"Lyl1"
"ENSMUSG00000036602",7.77753519518167e-05,"Alx1"
"ENSMUSG00000036061",7.79345734167567e-05,"Smug1"
"ENSMUSG00000025423",7.81427728035928e-05,"Pias2"
"ENSMUSG00000039275",7.81652375061233e-05,"Foxk2"
"ENSMUSG00000051306",7.84402436083504e-05,"Usp42"
"ENSMUSG00000034525",7.86522933559375e-05,"Ice1"
"ENSMUSG00000039632",7.86841952146751e-05,"Odad3"
"ENSMUSG00000072664",7.87139656975053e-05,"Ugt3a1"
"ENSMUSG00000033623",7.88780403975818e-05,"Pcgf3"
"ENSMUSG00000002058",7.88803972791154e-05,"Unc119"
"ENSMUSG00000113491",7.89225073316237e-05,"Gm19221"
"ENSMUSG00000039458",7.91717656944668e-05,"Mtmr12"
"ENSMUSG00000004356",7.92811531328871e-05,"Utp20"
"ENSMUSG00000020284",7.95867284408239e-05,"Cfap410"
"ENSMUSG00000046491",7.97068071110597e-05,"C1qtnf2"
"ENSMUSG00000117187",8.00030982081015e-05,NA
"ENSMUSG00000021646",8.00785160302886e-05,"Mccc2"
"ENSMUSG00000040732",8.03283247437173e-05,"Erg"
"ENSMUSG00000001794",8.03609739757701e-05,"Capns1"
"ENSMUSG00000062232",8.07071852437911e-05,"Rapgef2"
"ENSMUSG00000037965",8.12571607261656e-05,"Zc3h7a"
"ENSMUSG00000054057",8.12640143757909e-05,"A930004D18Rik"
"ENSMUSG00000020684",8.17113002911494e-05,"Rasl10b"
"ENSMUSG00000001665",8.17254436079447e-05,"Gstt3"
"ENSMUSG00000025220",8.18574463147245e-05,"Oga"
"ENSMUSG00000012187",8.20774770338104e-05,"Mogat1"
"ENSMUSG00000045098",8.22000642474331e-05,"Kmt5b"
"ENSMUSG00000036138",8.23390321359927e-05,"Acaa1a"
"ENSMUSG00000079523",8.27302424009192e-05,"Tmsb10"
"ENSMUSG00000030871",8.30208409048625e-05,"Ears2"
"ENSMUSG00000004788",8.31569111595851e-05,"Eif2b2"
"ENSMUSG00000015312",8.34268174167851e-05,"Gadd45b"
"ENSMUSG00000021156",8.34779182723767e-05,"Zmynd11"
"ENSMUSG00000028392",8.35757854968878e-05,"Bspry"
"ENSMUSG00000100593",8.37208872172144e-05,"1700119H24Rik"
"ENSMUSG00000043448",8.38126128373575e-05,"Gjc2"
"ENSMUSG00000022711",8.41190450352851e-05,"Pmm2"
"ENSMUSG00000037166",8.43627216372069e-05,"Ppp1r14a"
"ENSMUSG00000075227",8.44180108687969e-05,"Znhit2"
"ENSMUSG00000115190",8.44705213930821e-05,NA
"ENSMUSG00000034120",8.47280358632364e-05,"Srsf2"
"ENSMUSG00000004451",8.4986619543118e-05,"Ralb"
"ENSMUSG00000031659",8.5184127614867e-05,"Adcy7"
"ENSMUSG00000063108",8.5202753144738e-05,"Zfp26"
"ENSMUSG00000004849",8.5325794784686e-05,"Ap1s1"
"ENSMUSG00000052137",8.53829735007737e-05,"Rbm12b2"
"ENSMUSG00000048039",8.53915994808352e-05,"Isg20l2"
"ENSMUSG00000021224",8.54173722576188e-05,"Numb"
"ENSMUSG00000069939",8.59309385729384e-05,NA
"ENSMUSG00000035637",8.60024117107891e-05,"Grhpr"
"ENSMUSG00000021962",8.60947684670345e-05,"Dcp1a"
"ENSMUSG00000031916",8.62271769921208e-05,"Cog8"
"ENSMUSG00000041556",8.66476072730608e-05,"Fbxo2"
"ENSMUSG00000034538",8.66996890765356e-05,"Zfp418"
"ENSMUSG00000100405",8.68270599977927e-05,NA
"ENSMUSG00000021738",8.70228203190148e-05,"Atxn7"
"ENSMUSG00000039230",8.74405554523639e-05,"Tbcd"
"ENSMUSG00000033237",8.75508738337705e-05,"Arid2"
"ENSMUSG00000022945",8.83472529366865e-05,"Chaf1b"
"ENSMUSG00000032014",8.84520166594825e-05,"Oaf"
"ENSMUSG00000038914",8.84726532575875e-05,"Dido1"
"ENSMUSG00000020640",8.88866205878154e-05,"Itsn2"
"ENSMUSG00000040532",8.90523854444783e-05,"Abhd11"
"ENSMUSG00000018412",8.91103197952656e-05,"Kansl1"
"ENSMUSG00000038227",8.93368321847068e-05,"Hoxa9"
"ENSMUSG00000047547",8.9350406840585e-05,"Cltb"
"ENSMUSG00000020859",8.94536637649783e-05,"Spag9"
"ENSMUSG00000022201",8.9469471172869e-05,"Zfr"
"ENSMUSG00000028416",9.01148579185422e-05,"Bag1"
"ENSMUSG00000052337",9.0227395910509e-05,"Immt"
"ENSMUSG00000020170",9.03960232268622e-05,"Frs2"
"ENSMUSG00000071655",9.0496461669838e-05,"Ubxn1"
"ENSMUSG00000035498",9.05523290791226e-05,"Cdcp1"
"ENSMUSG00000029863",9.07544265550178e-05,"Casp2"
"ENSMUSG00000019659",9.07636686571398e-05,"Ccdc12"
"ENSMUSG00000022471",9.09999228908045e-05,"Xrcc6"
"ENSMUSG00000022433",9.10218042937202e-05,"Csnk1e"
"ENSMUSG00000029145",9.13218658414531e-05,"Eif2b4"
"ENSMUSG00000026743",9.15374935799535e-05,"Mllt10"
"ENSMUSG00000028684",9.15450280138183e-05,"Urod"
"ENSMUSG00000001948",9.18445484054694e-05,"Spa17"
"ENSMUSG00000037904",9.18909379202085e-05,"Ankrd9"
"ENSMUSG00000047330",9.21046995188837e-05,"Kcne4"
"ENSMUSG00000003585",9.30203918298703e-05,"Sec14l2"
"ENSMUSG00000070003",9.37893191495196e-05,"Ssbp4"
"ENSMUSG00000102252",9.38917664465457e-05,"Snrpn"
"ENSMUSG00000020272",9.41768516022061e-05,"Stk10"
"ENSMUSG00000029178",9.41857008795544e-05,"Klf3"
"ENSMUSG00000024194",9.4444400259537e-05,"Cuta"
"ENSMUSG00000052605",9.44514810351108e-05,"Isoc2b"
"ENSMUSG00000079311",9.46878559818427e-05,"Gm3222"
"ENSMUSG00000003135",9.46917316957545e-05,"Cnot11"
"ENSMUSG00000002524",9.47413251187488e-05,"Puf60"
"ENSMUSG00000049305",9.48041434612517e-05,"Ccdc71"
"ENSMUSG00000021939",9.52671748954796e-05,"Ctsb"
"ENSMUSG00000044328",9.59969550672268e-05,"Trp53i13"
"ENSMUSG00000030727",9.60257133180567e-05,"Rabep2"
"ENSMUSG00000049299",9.6363794198483e-05,"Trappc1"
"ENSMUSG00000034449",9.6422946156107e-05,"Dhrs11"
"ENSMUSG00000035984",9.65334820611988e-05,"Nme5"
"ENSMUSG00000054146",9.67536029255273e-05,"Krt15"
"ENSMUSG00000066058",9.67748156768871e-05,"Cldn19"
"ENSMUSG00000052144",9.69750089912962e-05,"Ppp4r2"
"ENSMUSG00000034667",9.81493767465404e-05,"Xpot"
"ENSMUSG00000034801",9.87945282151875e-05,"Sos2"
"ENSMUSG00000021796",9.91687312568431e-05,"Bmpr1a"
"ENSMUSG00000024737",9.94177803598886e-05,"Slc15a3"
"ENSMUSG00000021770",0.000100050440784519,"Samd8"
"ENSMUSG00000032532",0.00010043430850326,"Cck"
"ENSMUSG00000052707",0.000100982213613605,"Tnrc6a"
"ENSMUSG00000022314",0.000101529485072113,"Rad21"
"ENSMUSG00000014077",0.000101878257115428,"Chp1"
"ENSMUSG00000107655",0.000102209912710973,NA
"ENSMUSG00000027933",0.00010234441256019,"Ints3"
"ENSMUSG00000046229",0.000102385567081125,"Scand1"
"ENSMUSG00000009876",0.000102395426609418,"Cox4i2"
"ENSMUSG00000019822",0.000102423312647366,"Smpd2"
"ENSMUSG00000026220",0.000102437703314733,"Slc16a14"
"ENSMUSG00000060733",0.000103232356710461,"Ipmk"
"ENSMUSG00000044734",0.000103346345285536,"Serpinb1a"
"ENSMUSG00000021715",0.000103460479158573,"Cwc27"
"ENSMUSG00000108884",0.000103747335044755,NA
"ENSMUSG00000074060",0.000104074002156158,"Fbxw15"
"ENSMUSG00000064254",0.000104377522513799,"Ethe1"
"ENSMUSG00000063802",0.000104798328436316,"Hspbp1"
"ENSMUSG00000029169",0.000105465930862552,"Dhx15"
"ENSMUSG00000022718",0.00010556018717755,"Dgcr8"
"ENSMUSG00000108045",0.000105633879404847,"Gm5576"
"ENSMUSG00000026014",0.000105785572746332,"Raph1"
"ENSMUSG00000031446",0.00010626620268608,"Cul4a"
"ENSMUSG00000035042",0.00010631013803078,"Ccl5"
"ENSMUSG00000041797",0.000106895076628569,"Abca9"
"ENSMUSG00000008604",0.000106963714046562,"Ubqln4"
"ENSMUSG00000037157",0.000107255808269354,"Il22ra1"
"ENSMUSG00000022255",0.000107257135403923,"Mtdh"
"ENSMUSG00000034021",0.00010741410598216,"Pds5b"
"ENSMUSG00000032105",0.000107513521132683,"Nherf4"
"ENSMUSG00000026082",0.000107598995930382,"Rev1"
"ENSMUSG00000028906",0.000107825824895034,"Epb41"
"ENSMUSG00000041134",0.0001078420150297,"Cyyr1"
"ENSMUSG00000078636",0.000107879030777605,"Gm7336"
"ENSMUSG00000006218",0.000108321445537369,"Fam131c"
"ENSMUSG00000107997",0.000108614734795761,NA
"ENSMUSG00000006058",0.000108931398755652,"Snf8"
"ENSMUSG00000116138",0.000109297854744521,"C030006K11Rik"
"ENSMUSG00000004070",0.000109348063490789,"Hmox2"
"ENSMUSG00000001065",0.000109368601485624,"Zfp276"
"ENSMUSG00000041669",0.000109470467133993,"Prima1"
"ENSMUSG00000019947",0.000109513965921001,"Arid5b"
"ENSMUSG00000045136",0.000109537765595465,"Tubb2b"
"ENSMUSG00000028382",0.000109955698564971,"Ptbp3"
"ENSMUSG00000053110",0.000110123091643336,"Yap1"
"ENSMUSG00000021838",0.000110215317111361,"Samd4"
"ENSMUSG00000029571",0.000110278056993697,"Tmem106b"
"ENSMUSG00000032249",0.000110374018343948,"Anp32a"
"ENSMUSG00000047875",0.00011040043087133,"Gpr157"
"ENSMUSG00000036887",0.000110681056040612,"C1qa"
"ENSMUSG00000028796",0.000111373534399016,"Phc2"
"ENSMUSG00000015092",0.000112287207918323,"Edf1"
"ENSMUSG00000086370",0.000112351271194956,"Ftx"
"ENSMUSG00000028063",0.000112378704645686,"Lmna"
"ENSMUSG00000035901",0.000112801206829979,"Dennd5a"
"ENSMUSG00000002007",0.000112970691495553,"Srpk3"
"ENSMUSG00000068758",0.000113033291694567,"Il3ra"
"ENSMUSG00000005510",0.000113104560795528,"Ndufs3"
"ENSMUSG00000030352",0.000113409919949192,"Tspan9"
"ENSMUSG00000115987",0.000113444448970495,"Vps28"
"ENSMUSG00000021957",0.000113518839199253,"Tkt"
"ENSMUSG00000055114",0.00011368422199878,"Anxa13"
"ENSMUSG00000037876",0.000113854818942375,"Jmjd1c"
"ENSMUSG00000035559",0.000114135481399263,"Mpv17l2"
"ENSMUSG00000032740",0.000114869846247387,"Ccdc88a"
"ENSMUSG00000024976",0.000115143275996572,"Shoc2"
"ENSMUSG00000018672",0.000115459496234709,"Copz2"
